attribute,group_value,n,recall,ndcg,mrr
gender,F,230,0.043478260869565216,0.01954242013380452,0.012572463768115941
gender,M,270,0.05555555555555555,0.02608810560643908,0.017448559670781894
gender,__GAP(max-min)__,500,0.012077294685990336,0.006545685472634559,0.004876095902665953
age_band,0-35,350,0.054285714285714284,0.023759853563311537,0.014888888888888889
age_band,35-55,147,0.04081632653061224,0.021922424471799686,0.01626984126984127
age_band,55<=,3,0.0,0.0,0.0
age_band,__GAP(max-min)__,500,0.054285714285714284,0.023759853563311537,0.01626984126984127
disability,N,460,0.05217391304347826,0.024309430342186023,0.016165458937198066
disability,Y,40,0.025,0.008905179677700555,0.004166666666666667
disability,__GAP(max-min)__,500,0.027173913043478257,0.015404250664485468,0.0119987922705314
imd_binary,advantaged,225,0.035555555555555556,0.013950391441360885,0.0076049382716049385
imd_binary,disadvantaged,260,0.06538461538461539,0.03230656565464382,0.02266025641025641
imd_binary,unknown,15,0.0,0.0,0.0
imd_binary,__GAP(max-min)__,500,0.06538461538461539,0.03230656565464382,0.02266025641025641
